id,y_2015
136011,47539.84
136012,23458.59
136021,51506.27
136022,57482.82
136023,68912.48
136024,55540.44
137001,201888.47
137002,157122.89
137003,94635.69
137004,273223.88
137005,123388.79
138001,37834.17
138002,43819.1
138003,53047.26
138004,30421.62
138005,49038.75
139001,72073.12
139002,20353.87
139003,25186.38
139004,44354.09
140001,64484.31
140002,60751.21
142001,39478.81
142002,46612.3
142003,34556.5
142004,40109.94
143001,34088.32
143002,53050.27
143003,32943.4
143004,43212.61
145011,48232.94
145012,40138.25
