id,y_2015
136011,47210.37
136012,22373.86
136021,51957.34
136022,58471.06
136023,68795.7
136024,55155.01
137001,223706.83
137002,183441.19
137003,94161.28
137004,273371.32
137005,121391.49
138001,39273.06
138002,47035.76
138003,54841.64
138004,40422.45
138005,46927.13
139001,31064.81
139002,23251.44
139003,29913.78
139004,38834.06
140001,64901.12
140002,66988.63
142001,43194.39
142002,47738.69
142003,42986.27
142004,36609.88
143001,37685.57
143002,41156.5
143003,32871.84
143004,34968.66
145011,53145.33
145012,44964.58
