id,y_2000
139001,10.53
143004,10.19
140001,9.59
143002,9.58
138004,8.7
142002,8.25
138005,7.68
138002,6.55
139002,6.33
136021,6.18
142004,6.11
137005,5.87
139004,5.56
137003,5.41
142001,4.93
145011,4.53
142003,3.98
136022,3.86
139003,3.77
143003,3.11
143001,2.94
137002,2.16
137001,1.99
138001,1.88
140002,1.64
136024,1.62
138003,1.39
136023,1.36
145012,1.3
136012,1.01
136011,0.69
137004,0.49
