id,y_2013_Home_Tenure
136011,18
136012,10
136021,10
136022,17
136023,14
136024,23
137001,16
137002,10
137003,13
137004,15
137005,10
138001,19
138002,12
138003,32
138004,NULL
138005,35
139001,NULL
139002,32
139003,23
139004,25
140001,9
140002,13
142001,17
142002,27
142003,11
142004,NULL
143001,NULL
143002,0
143003,11
143004,18
145011,42
145012,25
